N,porcentaje_exito_conexion,media_conexion_ms,desv_conexion_ms,media_primer_golpe_ms,desv_primer_golpe_ms
50,100.000000,5.384903,8.593314,1.687565,1.859737
100,100.000000,2.938027,2.920567,2.109802,1.522770
150,100.000000,3.006597,3.099565,2.484610,1.882054
200,100.000000,2.553403,1.715607,4.128242,33.485263
250,100.000000,6.477962,46.327023,8.955715,71.718173
300,100.000000,5.793650,43.265661,5.734568,45.107689
350,100.000000,10.967612,79.196873,7.775850,60.435667
400,100.000000,8.396109,54.635952,15.300068,100.983705
450,100.000000,22.924567,133.414329,8.534374,63.954264
500,100.000000,31.461298,155.406667,18.428415,110.197420
